word,count,rank,In Top,letter score,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
kabul,1213882,2953,5000,31.14,4.32,12.02,0,0,0,0,0,0,0,0,6.95,7.68,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0
blank,18150537,594,5000,31.08,4.32,12.02,0,0,0,0,0,0,0,0,6.95,7.68,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0
basel,2319607,2111,5000,31.05,4.32,12.02,0,0,5.92,0,0,0,0,0,0,7.68,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0
sable,1501050,2662,5000,31.05,4.32,12.02,0,0,5.92,0,0,0,0,0,0,7.68,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0
bales,712551,3868,5000,31.05,4.32,12.02,0,0,5.92,0,0,0,0,0,0,7.68,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0
ebook,9558308,934,5000,30.91,0,12.02,0,0,5.92,0,0,0,0,0,6.95,0,0,0,6.02,0,0,0,0,0,0,0,0,0,0,0
blair,9463587,941,5000,30.88,4.32,12.02,0,0,0,0,0,0,3.98,0,0,7.68,0,0,0,0,0,2.88,0,0,0,0,0,0,0,0
libra,1165757,3007,5000,30.88,4.32,12.02,0,0,0,0,0,0,3.98,0,0,7.68,0,0,0,0,0,2.88,0,0,0,0,0,0,0,0
boils,720481,3844,5000,30.81,0,12.02,0,0,0,0,0,0,3.98,0,0,7.68,0,0,6.02,0,0,0,1.11,0,0,0,0,0,0,0
blink,5257629,1347,5000,30.74,0,12.02,0,0,0,0,0,0,3.98,0,6.95,7.68,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0
lesbi,469736,4813,5000,30.71,0,12.02,0,0,5.92,0,0,0,3.98,0,0,7.68,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0
bjork,728665,3821,5000,30.48,0,12.02,0,0,0,0,0,0,0,2.61,6.95,0,0,0,6.02,0,0,2.88,0,0,0,0,0,0,0,0
above,141894620,105,5000,30.39,4.32,12.02,0,0,5.92,0,0,0,0,0,0,0,0,0,6.02,0,0,0,0,0,0,2.11,0,0,0,0
adobe,27538755,461,5000,30.31,4.32,12.02,0,2.03,5.92,0,0,0,0,0,0,0,0,0,6.02,0,0,0,0,0,0,0,0,0,0,0
abode,1246541,2914,5000,30.31,4.32,12.02,0,2.03,5.92,0,0,0,0,0,0,0,0,0,6.02,0,0,0,0,0,0,0,0,0,0,0
flock,2585098,2003,5000,30.26,0,0,2.3,0,0,7.31,0,0,0,0,6.95,7.68,0,0,6.02,0,0,0,0,0,0,0,0,0,0,0
bebop,1000401,3254,5000,30.24,0,12.02,0,0,5.92,0,0,0,0,0,0,0,0,0,6.02,6.28,0,0,0,0,0,0,0,0,0,0
brock,2441409,2051,5000,30.17,0,12.02,2.3,0,0,0,0,0,0,0,6.95,0,0,0,6.02,0,0,2.88,0,0,0,0,0,0,0,0
fleck,454043,4918,5000,30.16,0,0,2.3,0,5.92,7.31,0,0,0,0,6.95,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
krabi,881431,3469,5000,30.15,4.32,12.02,0,0,0,0,0,0,3.98,0,6.95,0,0,0,0,0,0,2.88,0,0,0,0,0,0,0,0
publi,444428,4974,5000,30.13,0,12.02,0,0,0,0,0,0,3.98,0,0,7.68,0,0,0,6.28,0,0,0,0,0.17,0,0,0,0,0
bagel,792721,3641,5000,30.04,4.32,12.02,0,0,5.92,0,0.1,0,0,0,0,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gable,790611,3648,5000,30.04,4.32,12.02,0,0,5.92,0,0.1,0,0,0,0,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bikes,10740880,859,5000,29.98,0,12.02,0,0,5.92,0,0,0,3.98,0,6.95,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0
label,41359857,330,5000,29.94,4.32,12.02,0,0,5.92,0,0,0,0,0,0,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bella,3753635,1645,5000,29.94,4.32,12.02,0,0,5.92,0,0,0,0,0,0,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blaze,2448412,2047,5000,29.94,4.32,12.02,0,0,5.92,0,0,0,0,0,0,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,
babel,1047472,3191,5000,29.94,4.32,12.02,0,0,5.92,0,0,0,0,0,0,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beale,571540,4352,5000,29.94,4.32,12.02,0,0,5.92,0,0,0,0,0,0,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blige,678741,3976,5000,29.7,0,12.02,0,0,5.92,0,0.1,0,3.98,0,0,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bible,45080741,312,5000,29.6,0,12.02,0,0,5.92,0,0,0,3.98,0,0,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
libel,866830,3500,5000,29.6,0,12.02,0,0,5.92,0,0,0,3.98,0,0,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
liebe,852822,3530,5000,29.6,0,12.02,0,0,5.92,0,0,0,3.98,0,0,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
batik,648561,4074,5000,29.36,4.32,12.02,0,0,0,0,0,0,3.98,0,6.95,0,0,0,0,0,0,0,0,2.09,0,0,0,0,0,0
alfie,486328,4733,5000,29.21,4.32,0,0,0,5.92,7.31,0,0,3.98,0,0,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
basil,2757419,1921,5000,29.11,4.32,12.02,0,0,0,0,0,0,3.98,0,0,7.68,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0
folks,13760930,734,5000,29.07,0,0,0,0,0,7.31,0,0,0,0,6.95,7.68,0,0,6.02,0,0,0,1.11,0,0,0,0,0,0,0
boise,4529204,1483,5000,29.05,0,12.02,0,0,5.92,0,0,0,3.98,0,0,0,0,0,6.02,0,0,0,1.11,0,0,0,0,0,0,0
toefl,995571,3260,5000,29.02,0,0,0,0,5.92,7.31,0,0,0,0,0,7.68,0,0,6.02,0,0,0,0,2.09,0,0,0,0,0,0
ibook,2364203,2083,5000,28.97,0,12.02,0,0,0,0,0,0,3.98,0,6.95,0,0,0,6.02,0,0,0,0,0,0,0,0,0,0,0
bolts,3682849,1662,5000,28.92,0,12.02,0,0,0,0,0,0,0,0,0,7.68,0,0,6.02,0,0,0,1.11,2.09,0,0,0,0,0,0
berks,687726,3951,5000,28.88,0,12.02,0,0,5.92,0,0,0,0,0,6.95,0,0,0,0,0,0,2.88,1.11,0,0,0,0,0,0,0
krebs,493522,4705,5000,28.88,0,12.02,0,0,5.92,0,0,0,0,0,6.95,0,0,0,0,0,0,2.88,1.11,0,0,0,0,0,0,0
bored,5114852,1373,5000,28.87,0,12.02,0,2.03,5.92,0,0,0,0,0,0,0,0,0,6.02,0,0,2.88,0,0,0,0,0,0,0,0
locke,1943130,2327,5000,28.87,0,0,2.3,0,5.92,0,0,0,0,0,6.95,7.68,0,0,6.02,0,0,0,0,0,0,0,0,0,0,0
alike,6220739,1211,5000,28.85,4.32,0,0,0,5.92,0,0,0,3.98,0,6.95,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
belts,5651790,1286,5000,28.82,0,12.02,0,0,5.92,0,0,0,0,0,0,7.68,0,0,0,0,0,0,1.11,2.09,0,0,0,0,0,0
bloch,851076,3535,5000,28.71,0,12.02,2.3,0,0,0,0,0.69,0,0,0,7.68,0,0,6.02,0,0,0,0,0,0,0,0,0,0,0
bloor,467508,4826,5000,28.6,0,12.02,0,0,0,0,0,0,0,0,0,7.68,0,0,6.02,0,0,2.88,0,0,0,0,0,0,0,0
rebel,6527810,1178,5000,28.5,0,12.02,0,0,5.92,0,0,0,0,0,0,7.68,0,0,0,0,0,2.88,0,0,0,0,0,0,0,0
beryl,547615,4451,5000,28.5,0,12.02,0,0,5.92,0,0,0,0,0,0,7.68,0,0,0,0,0,2.88,0,0,0,0,0,0,,0
flops,997539,3257,5000,28.4,0,0,0,0,0,7.31,0,0,0,0,0,7.68,0,0,6.02,6.28,0,0,1.11,0,0,0,0,0,0,0
probs,543256,4471,5000,28.31,0,12.02,0,0,0,0,0,0,0,0,0,0,0,0,6.02,6.28,0,2.88,1.11,0,0,0,0,0,0,0
abide,3722809,1654,5000,28.27,4.32,12.02,0,2.03,5.92,0,0,0,3.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flick,2226500,2181,5000,28.22,0,0,2.3,0,0,7.31,0,0,3.98,0,6.95,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flora,4756211,1429,5000,28.21,4.32,0,0,0,0,7.31,0,0,0,0,0,7.68,0,0,6.02,0,0,2.88,0,0,0,0,0,0,0,0
brick,8094369,1049,5000,28.13,0,12.02,2.3,0,0,0,0,0,3.98,0,6.95,0,0,0,0,0,0,2.88,0,0,0,0,0,0,0,0
flare,2190533,2201,5000,28.11,4.32,0,0,0,5.92,7.31,0,0,0,0,0,7.68,0,0,0,0,0,2.88,0,0,0,0,0,0,0,0
feral,897865,3432,5000,28.11,4.32,0,0,0,5.92,7.31,0,0,0,0,0,7.68,0,0,0,0,0,2.88,0,0,0,0,0,0,0,0
poker,129054826,115,5000,28.05,0,0,0,0,5.92,0,0,0,0,0,6.95,0,0,0,6.02,6.28,0,2.88,0,0,0,0,0,0,0,0
fluke,1168887,3000,5000,28.03,0,0,0,0,5.92,7.31,0,0,0,0,6.95,7.68,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0
colby,1386754,2768,5000,28.02,0,12.02,2.3,0,0,0,0,0,0,0,0,7.68,0,0,6.02,0,0,0,0,0,0,0,0,0,,0
cobol,1092207,3100,5000,28.02,0,12.02,2.3,0,0,0,0,0,0,0,0,7.68,0,0,6.02,0,0,0,0,0,0,0,0,0,0,0
bowie,3287191,1758,5000,28.01,0,12.02,0,0,5.92,0,0,0,3.98,0,0,0,0,0,6.02,0,0,0,0,0,0,0,0.07,0,0,0
libya,4775799,1426,5000,28,4.32,12.02,0,0,0,0,0,0,3.98,0,0,7.68,0,0,0,0,0,0,0,0,0,0,0,0,,0
labia,753273,3763,5000,28,4.32,12.02,0,0,0,0,0,0,3.98,0,0,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alibi,448710,4944,5000,28,4.32,12.02,0,0,0,0,0,0,3.98,0,0,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plumb,631703,4130,5000,27.97,0,12.02,0,0,0,0,0,0,0,0,0,7.68,1.82,0,0,6.28,0,0,0,0,0.17,0,0,0,0,0
sobre,2715022,1941,5000,27.95,0,12.02,0,0,5.92,0,0,0,0,0,0,0,0,0,6.02,0,0,2.88,1.11,0,0,0,0,0,0,0
sober,1672710,2520,5000,27.95,0,12.02,0,0,5.92,0,0,0,0,0,0,0,0,0,6.02,0,0,2.88,1.11,0,0,0,0,0,0,0
robes,1600721,2573,5000,27.95,0,12.02,0,0,5.92,0,0,0,0,0,0,0,0,0,6.02,0,0,2.88,1.11,0,0,0,0,0,0,0
plesk,529907,4532,5000,27.94,0,0,0,0,5.92,0,0,0,0,0,6.95,7.68,0,0,0,6.28,0,0,1.11,0,0,0,0,0,0,0
burke,5646090,1287,5000,27.94,0,12.02,0,0,5.92,0,0,0,0,0,6.95,0,0,0,0,0,0,2.88,0,0,0.17,0,0,0,0,0
celeb,4548138,1478,5000,27.92,0,12.02,2.3,0,5.92,0,0,0,0,0,0,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brook,6044943,1229,5000,27.87,0,12.02,0,0,0,0,0,0,0,0,6.95,0,0,0,6.02,0,0,2.88,0,0,0,0,0,0,0,0
blond,5155053,1367,5000,27.86,0,12.02,0,2.03,0,0,0,0,0,0,0,7.68,0,0.11,6.02,0,0,0,0,0,0,0,0,0,0,0
climb,5697476,1280,5000,27.8,0,12.02,2.3,0,0,0,0,0,3.98,0,0,7.68,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0
rifle,5047417,1383,5000,27.77,0,0,0,0,5.92,7.31,0,0,3.98,0,0,7.68,0,0,0,0,0,2.88,0,0,0,0,0,0,0,0
filer,702264,3902,5000,27.77,0,0,0,0,5.92,7.31,0,0,3.98,0,0,7.68,0,0,0,0,0,2.88,0,0,0,0,0,0,0,0
flier,542812,4474,5000,27.77,0,0,0,0,5.92,7.31,0,0,3.98,0,0,7.68,0,0,0,0,0,2.88,0,0,0,0,0,0,0,0
blend,9680982,925,5000,27.76,0,12.02,0,2.03,5.92,0,0,0,0,0,0,7.68,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0
klear,611697,4197,5000,27.75,4.32,0,0,0,5.92,0,0,0,0,0,6.95,7.68,0,0,0,0,0,2.88,0,0,0,0,0,0,0,0
karel,567060,4373,5000,27.75,4.32,0,0,0,5.92,0,0,0,0,0,6.95,7.68,0,0,0,0,0,2.88,0,0,0,0,0,0,0,0
blood,61348302,242,5000,27.75,0,12.02,0,2.03,0,0,0,0,0,0,0,7.68,0,0,6.02,0,0,0,0,0,0,0,0,0,0,0
dolby,4612197,1461,5000,27.75,0,12.02,0,2.03,0,0,0,0,0,0,0,7.68,0,0,6.02,0,0,0,0,0,0,0,0,0,,0
bevel,571985,4348,5000,27.73,0,12.02,0,0,5.92,0,0,0,0,0,0,7.68,0,0,0,0,0,0,0,0,0,2.11,0,0,0,0
kelso,666877,4020,5000,27.68,0,0,0,0,5.92,0,0,0,0,0,6.95,7.68,0,0,6.02,0,0,0,1.11,0,0,0,0,0,0,0
bleed,1989071,2293,5000,27.65,0,12.02,0,2.03,5.92,0,0,0,0,0,0,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
focal,5844761,1264,5000,27.63,4.32,0,2.3,0,0,7.31,0,0,0,0,0,7.68,0,0,6.02,0,0,0,0,0,0,0,0,0,0,0
falco,563635,4387,5000,27.63,4.32,0,2.3,0,0,7.31,0,0,0,0,0,7.68,0,0,6.02,0,0,0,0,0,0,0,0,0,0,0
bloom,5456938,1322,5000,27.54,0,12.02,0,0,0,0,0,0,0,0,0,7.68,1.82,0,6.02,0,0,0,0,0,0,0,0,0,0,0
cobra,4412823,1501,5000,27.54,4.32,12.02,2.3,0,0,0,0,0,0,0,0,0,0,0,6.02,0,0,2.88,0,0,0,0,0,0,0,0
corba,1612985,2562,5000,27.54,4.32,12.02,2.3,0,0,0,0,0,0,0,0,0,0,0,6.02,0,0,2.88,0,0,0,0,0,0,0,0
barco,525282,4558,5000,27.54,4.32,12.02,2.3,0,0,0,0,0,0,0,0,0,0,0,6.02,0,0,2.88,0,0,0,0,0,0,0,0
fecal,1032064,3213,5000,27.53,4.32,0,2.3,0,5.92,7.31,0,0,0,0,0,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brace,2182960,2206,5000,27.44,4.32,12.02,2.3,0,5.92,0,0,0,0,0,0,0,0,0,0,0,0,2.88,0,0,0,0,0,0,0,0
ebxml,553411,4435,5000,27.44,0,12.02,0,0,5.92,0,0,0,0,0,0,7.68,1.82,0,0,0,0,0,0,0,0,0,0,,0,0
float,8808655,992,5000,27.42,4.32,0,0,0,0,7.31,0,0,0,0,0,7.68,0,0,6.02,0,0,0,0,2.09,0,0,0,0,0,0
aloft,497342,4688,5000,27.42,4.32,0,0,0,0,7.31,0,0,0,0,0,7.68,0,0,6.02,0,0,0,0,2.09,0,0,0,0,0,0
freak,3908219,1613,5000,27.38,4.32,0,0,0,5.92,7.31,0,0,0,0,6.95,0,0,0,0,0,0,2.88,0,0,0,0,0,0,0,0
ebsco,1011888,3241,5000,27.37,0,12.02,2.3,0,5.92,0,0,0,0,0,0,0,0,0,6.02,0,0,0,1.11,0,0,0,0,0,0,0
boces,710986,3875,5000,27.37,0,12.02,2.3,0,5.92,0,0,0,0,0,0,0,0,0,6.02,0,0,0,1.11,0,0,0,0,0,0,0
flask,1150132,3031,5000,27.37,4.32,0,0,0,0,7.31,0,0,0,0,6.95,7.68,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0
adolf,957923,3316,5000,27.36,4.32,0,0,2.03,0,7.31,0,0,0,0,0,7.68,0,0,6.02,0,0,0,0,0,0,0,0,0,0,0
bravo,2772503,1917,5000,27.35,4.32,12.02,0,0,0,0,0,0,0,0,0,0,0,0,6.02,0,0,2.88,0,0,0,2.11,0,0,0,0
baise,528841,4539,5000,27.35,4.32,12.02,0,0,5.92,0,0,0,3.98,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0
abort,1569892,2597,5000,27.33,4.32,12.02,0,0,0,0,0,0,0,0,0,0,0,0,6.02,0,0,2.88,0,2.09,0,0,0,0,0,0
tabor,834301,3565,5000,27.33,4.32,12.02,0,0,0,0,0,0,0,0,0,0,0,0,6.02,0,0,2.88,0,2.09,0,0,0,0,0,0
fetal,3127968,1809,5000,27.32,4.32,0,0,0,5.92,7.31,0,0,0,0,0,7.68,0,0,0,0,0,0,0,2.09,0,0,0,0,0,0
folic,1050468,3184,5000,27.29,0,0,2.3,0,0,7.31,0,0,3.98,0,0,7.68,0,0,6.02,0,0,0,0,0,0,0,0,0,0,0
board,212361059,61,5000,27.27,4.32,12.02,0,2.03,0,0,0,0,0,0,0,0,0,0,6.02,0,0,2.88,0,0,0,0,0,0,0,0
broad,21370126,535,5000,27.27,4.32,12.02,0,2.03,0,0,0,0,0,0,0,0,0,0,6.02,0,0,2.88,0,0,0,0,0,0,0,0
jacob,8114034,1047,5000,27.27,4.32,12.02,2.3,0,0,0,0,0,0,2.61,0,0,0,0,6.02,0,0,0,0,0,0,0,0,0,0,0
cloak,1450056,2709,5000,27.27,4.32,0,2.3,0,0,0,0,0,0,0,6.95,7.68,0,0,6.02,0,0,0,0,0,0,0,0,0,0,0
brave,5221356,1355,5000,27.25,4.32,12.02,0,0,5.92,0,0,0,0,0,0,0,0,0,0,0,0,2.88,0,0,0,2.11,0,0,0,0
blast,9387171,950,5000,27.22,4.32,12.02,0,0,0,0,0,0,0,0,0,7.68,0,0,0,0,0,0,1.11,2.09,0,0,0,0,0,0
poked,530699,4529,5000,27.2,0,0,0,2.03,5.92,0,0,0,0,0,6.95,0,0,0,6.02,6.28,0,0,0,0,0,0,0,0,0,0
equal,34832354,391,5000,27.19,4.32,0,0,0,5.92,0,0,0,0,0,0,7.68,0,0,0,0,9.1,0,0,0,0.17,0,0,0,0,0
becky,2606971,1994,5000,27.19,0,12.02,2.3,0,5.92,0,0,0,0,0,6.95,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
polar,7715471,1082,5000,27.18,4.32,0,0,0,0,0,0,0,0,0,0,7.68,0,0,6.02,6.28,0,2.88,0,0,0,0,0,0,0,0
bluff,3906671,1614,5000,27.18,0,12.02,0,0,0,7.31,0,0,0,0,0,7.68,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0
vbseo,616089,4184,5000,27.18,0,12.02,0,0,5.92,0,0,0,0,0,0,0,0,0,6.02,0,0,0,1.11,0,0,2.11,0,0,0,0
bread,13575360,742,5000,27.17,4.32,12.02,0,2.03,5.92,0,0,0,0,0,0,0,0,0,0,0,0,2.88,0,0,0,0,0,0,0,0
beard,3166516,1792,5000,27.17,4.32,12.02,0,2.03,5.92,0,0,0,0,0,0,0,0,0,0,0,0,2.88,0,0,0,0,0,0,0,0
debra,2594075,1998,5000,27.17,4.32,12.02,0,2.03,5.92,0,0,0,0,0,0,0,0,0,0,0,0,2.88,0,0,0,0,0,0,0,0
prweb,1654227,2535,5000,27.17,0,12.02,0,0,5.92,0,0,0,0,0,0,0,0,0,0,6.28,0,2.88,0,0,0,0,0.07,0,0,0
bader,554301,4431,5000,27.17,4.32,12.02,0,2.03,5.92,0,0,0,0,0,0,0,0,0,0,0,0,2.88,0,0,0,0,0,0,0,0
brice,541413,4479,5000,27.1,0,12.02,2.3,0,5.92,0,0,0,3.98,0,0,0,0,0,0,0,0,2.88,0,0,0,0,0,0,0,0
pearl,18707334,585,5000,27.08,4.32,0,0,0,5.92,0,0,0,0,0,0,7.68,0,0,0,6.28,0,2.88,0,0,0,0,0,0,0,0
